Ticker,Company Name,Sector,Industry,Exchange
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,Energy,Oil & Gas Refining & Marketing,NSE
AIAENG.NS,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,NSE
AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ALKEM.NS,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,NSE
ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,NSE
AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,Building Materials,NSE
ANGELONE.NS,Angel One Limited,Financial Services,Capital Markets,NSE
ANURAS.NS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals,NSE
APARINDS.NS,APAR Industries Limited,Industrials,Electrical Equipment & Parts,NSE
APLAPOLLO.NS,APL Apollo Tubes Limited,Basic Materials,Steel,NSE
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,NSE
APOLLOTYRE.NS,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,NSE
ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,NSE
ASIANPAINT.NS,Asian Paints Limited,Basic Materials,Specialty Chemicals,NSE
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities,NSE
ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,NSE
ASTRAMICRO.NS,Astra Microwave Products Limited,Technology,Communication Equipment,NSE
ATGL.NS,Adani Total Gas Limited,Utilities,Utilities - Regulated Gas,NSE
ATUL.NS,Atul Ltd,Basic Materials,Specialty Chemicals,NSE
AUBANK.NS,AU Small Finance Bank Limited,Financial Services,Banks - Regional,NSE
AUROPHARMA.NS,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,NSE
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,NSE
BAJAJCON.NS,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products,NSE
BAJAJELEC.NS,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,NSE
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners,NSE
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,NSE
BALKRISIND.NS,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,NSE
BALRAMCHIN.NS,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners,NSE
BANDHANBNK.NS,Bandhan Bank Limited,Financial Services,Banks - Regional,NSE
BANKBARODA.NS,Bank of Baroda Limited,Financial Services,Banks - Regional,NSE
BASF.NS,BASF India Limited,Basic Materials,Specialty Chemicals,NSE
BATAINDIA.NS,Bata India Limited,Consumer Cyclical,Footwear & Accessories,NSE
BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,NSE
