ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry
CARERATING.NS,30.04328,23.935736,45833408512,4363057152.0,1528615040.0,1687544960.0,2318744064.0,0.19013001,0.104329996,,0.35035,0.47626,0.53145003,,,,,0.162,0.225,0.23,2.913,6.331,6.104,1.25,0.35439998,0.287,Financial Services,Financial Data & Stock Exchanges
CASTROLIND.NS,19.573023,17.994122,190890737664,56354701312.0,9766500352.0,13534924800.0,27560200192.0,,,,0.1733,0.2184,0.48905,,,,,0.058,0.095,0.098,4.022,,,4.42,0.86120003,0.337,Energy,Oil & Gas Refining & Marketing
CDSL.NS,72.20849,51.750557,341673213952,11891048448.0,4729955840.0,6644790784.0,11891048448.0,0.28139,0.17707,,0.39777002,0.53901,1.0,,,,,-0.048,-0.134,-0.135,0.139,2.257,1.985,0.77,0.5521,0.254,Financial Services,Capital Markets
CENTRALBK.NS,7.515504,,351013339136,166203686912.0,45817253888.0,,166203686912.0,0.12716,0.00964,,0.27567,0.32933998,0.0,,,,,0.003,0.283,0.333,,,,1.53,0.075100005,0.337,Financial Services,Banks - Regional
CENTURYPLY.NS,77.31508,33.959915,178991857664,48936960000.0,2316775936.0,5584664064.0,22830678016.0,0.09923001,0.05732,,0.047340002,0.09169,0.46653,,,,,0.171,0.722,0.724,66.141,1.056,0.391,0.12,0.0959,0.318,Basic Materials,Lumber & Wood Production
CERA.NS,30.438852,24.143955,71283769344,19454752768.0,2346191104.0,2877661952.0,9980028928.0,0.1817,0.09099,,0.12060001,0.117460005,0.51299,,,,,-0.009,-0.161,-0.167,4.352,4.355,2.895,1.17,0.35740003,-0.356,Industrials,Building Products & Equipment
CESC.NS,15.723696,11.381456,227953213440,179072892928.0,14499399680.0,34675400704.0,67011301376.0,0.116730005,0.03518,,0.080970004,0.15018,0.37421,,,,,0.121,0.202,0.204,141.107,1.077,0.84,3.52,0.41169998,0.241,Utilities,Utilities - Regulated Electric
CHAMBLFERT.NS,9.466437,25.142857,176366665728,194771599360.0,18624999424.0,25770100736.0,72365498368.0,0.20681,0.1066,,0.09562001,0.11775,0.37153998,,,,,0.475,0.209,0.21,1.022,2.272,1.256,2.27,0.2151,0.39,Basic Materials,Agricultural Inputs
CHOLAFIN.NS,31.448301,21.876265,1460219543552,118629998592.0,46451900416.0,,118526803968.0,0.19619,0.0233,,0.39157,0.50852,0.99913,,,,,0.196,0.197,0.198,724.311,112.664,112.664,0.12,0.0363,0.395,Financial Services,Credit Services
CHOLAHLDNG.NS,15.495746,11.285276,347203272704,196627595264.0,22281799680.0,,146088099840.0,0.18281001,0.022219999,,0.11332,0.2866,0.74297,,,,,0.168,0.046,0.046,635.38,64.212,63.9,0.07,0.011,0.274,Financial Services,Credit Services
CIPLA.NS,22.790146,24.167454,1240413372416,279658201088.0,54411399168.0,70936403968.0,185980600320.0,0.17676,0.10307,,0.19455999,0.21454,0.66503,,,,,0.07,0.037,0.037,1.415,3.957,2.78,0.85,0.19309999,0.099,Healthcare,Drug Manufacturers - Specialty & Generic
COALINDIA.NS,7.4511156,14.834841,2324889337856,1305053364224.0,312072503296.0,436428210176.0,1115631386624.0,0.30576,0.08133,,0.23913,0.19155,0.85485,,,,,0.185,-0.308,-0.308,12.976,1.771,0.98,7.05,0.632,,Energy,Thermal Coal
COCHINSHIP.NS,58.244274,47.579365,441607389184,50926239744.0,7595297792.0,9678609408.0,18519472128.0,0.13844,0.040949997,,0.14914,0.03823,0.36365002,,,,,-0.022,-0.43,-0.431,20.291,1.301,0.406,0.83,0.3376,0.206,Industrials,Aerospace & Defense
COFORGE.NS,59.084747,9.188632,642097283072,143422996480.0,10956999680.0,20806000640.0,57953001472.0,0.15033,0.08264,,0.08158,0.14064999,0.40407002,,,,,0.302,0.836,0.859,10.888,1.569,1.393,0.84,0.4746,0.261,Technology,Information Technology Services
COLPAL.NS,44.30621,35.22979,588268765184,58779099136.0,13259100160.0,18576400384.0,40427499520.0,0.8197,0.33479,,0.22558,0.28183,0.68779,,,,,-0.062,-0.171,-0.171,3.791,1.292,1.037,2.35,1.0462,0.312,Consumer Defensive,Household & Personal Products
CONCOR.NS,29.813738,18.286327,390212878336,90042998784.0,13104199680.0,17644900352.0,23289499648.0,0.104329996,0.05854,,0.14553,0.18195999,0.25865,,,,,0.029,0.04,0.036,7.016,4.353,3.759,1.8,0.5349,0.131,Industrials,Railroads
COROMANDEL.NS,28.87566,41.541584,698283720704,286200102912.0,24017799168.0,31136100352.0,70842400768.0,0.20782,0.083459996,,0.08392,0.108219996,0.24753,,,,,0.299,0.212,0.213,11.599,1.526,0.866,0.76,0.14729999,0.142,Basic Materials,Agricultural Inputs
CRAFTSMAN.NS,70.65704,29.16581,169315008512,71109296128.0,2401499904.0,9857999872.0,31152500736.0,0.082609996,0.053039998,,0.033770002,0.096370004,0.43808997,,,,,0.649,0.398,0.473,109.273,1.133,0.426,0.07,0.0499,0.153,Consumer Cyclical,Auto Parts
CRISIL.NS,43.76303,39.746902,328604221440,34803499008.0,7491999744.0,9572049920.0,16339600384.0,,,,0.21527,0.2538,0.46948,,,,,0.122,0.126,0.126,10.58,,,1.45,0.5661,-0.121,Financial Services,Financial Data & Stock Exchanges
CROMPTON.NS,36.176872,36.275578,171216961536,77435904000.0,4727900160.0,7470499840.0,25287200768.0,0.13014,0.0684,,0.06106,0.05968,0.32656,,,,,0.01,-0.428,-0.43,4.826,1.409,0.74,1.13,0.4087,0.116,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
